Category,Check,Pass,Fail,Comment
Shop,Purchase,,,
,Ammo,,,
,Skills,,,
,Coins,,,
,Equipment,,,
Upgrades,Guns,,,Failed to open menu
,Armor,,,
,Locks,,,
,protection,,,
Gameplay,Shooting,,,
,"Activating ""Shield"" bonus",,,
,Switching ammo types,,,
Daily Reward,Roulette Reward,,,
,Daily reward,,,
